idx,prompt,label_text,label,original_label,group,group_text,top1,topk_set,avgk_set,conformal_marginal_set,conformal_conditional_set,corr_ans_text,topk_text,avgk_text,conformal_marginal_text,conformal_conditional_text,prompt_original
68,"He currently serves as the head team physician for NYU athletic teams and Long Island University Athletics. He also serves as a medical consultant for the New York Rangers, is a two time NYC Marathoner and Nautica Triathalon competitor, avid surfer, Bikram Yoga practioner, and Brazilian Jiu-Jitsu practitioner.",Professor,0,21,1,Male,7,1 3 7 ,1 7 ,1 3 7 ,1 3 7 ,The best answer is 0. Professor.,1. Physician  3. Journalist  7. Surgeon,1. Physician  7. Surgeon,1. Physician  3. Journalist  7. Surgeon,1. Physician  3. Journalist  7. Surgeon,"He currently serves as the head team physician for NYU athletic teams and Long Island University Athletics. He also serves as a medical consultant for the New York Rangers, is a two time NYC Marathoner and Nautica Triathalon competitor, avid surfer, Bikram Yoga practioner, and Brazilian Jiu-Jitsu practitioner."
69,"He earned his PhD from UCSD, specializing in philosophy of language(with particular emphasis on the Ordinary Language Philosophers) but is ultimately more interested in philosophy of religion.",Professor,0,21,1,Male,0,3 5 0 ,3 5 0 ,3 5 8 0 ,3 5 8 0 ,The best answer is 0. Professor.,3. Journalist  5. Teacher  0. Professor,3. Journalist  5. Teacher  0. Professor,3. Journalist  5. Teacher  8. Painter  0. Professor,3. Journalist  5. Teacher  8. Painter  0. Professor,"He earned his PhD from UCSD, specializing in philosophy of language(with particular emphasis on the Ordinary Language Philosophers) but is ultimately more interested in philosophy of religion."
70,"He is the author of The Language of New Media(MIT Press, 2001) and Tekstura : Russian Essays on Visual Culture(Chicago UP, 1993).Manovich has been working with computer media as an artist, computer animator, designer, and programmer since 1984.",Professor,0,21,1,Male,0,2 5 0 ,0 ,2 0 ,2 0 ,The best answer is 0. Professor.,2. Photographer  5. Teacher  0. Professor,0. Professor,2. Photographer  0. Professor,2. Photographer  0. Professor,"He is the author of The Language of New Media(MIT Press, 2001) and Tekstura : Russian Essays on Visual Culture(Chicago UP, 1993). Manovich has been working with computer media as an artist, computer animator, designer, and programmer since 1984. His art projects include little movies, the first digital film project designed for the Web(1994-), Freud-Lissitzky Navigator  a conceptual software for navigating twentieth century history  and Anna and Andy(2000)  a streaming novel."
71,"He is the author of Communicative Action and Rational Choice and The Efficient Society, a Macleans and Globe and Mail bestseller, which was also selected as one of the best books of 2001 by the Globe and Mail. Praise for Nation of Rebels : Why Counterculture Became Consumer Culture...",Professor,0,21,1,Male,3,3 5 0 ,3 ,3 ,3 ,The best answer is 0. Professor.,3. Journalist  5. Teacher  0. Professor,3. Journalist,3. Journalist,3. Journalist,"He is the author of Communicative Action and Rational Choice and The Efficient Society, a Macleans and Globe and Mail bestseller, which was also selected as one of the best books of 2001 by the Globe and Mail. Praise for Nation of Rebels : Why Counterculture Became Consumer Culture..."
72,"Prior to coming to Manhattanville College, Joseph taught ceramics and sculpture at Kalamazoo College.Working primarily in ceramic sculpture, Joseph maintains both a private studio practice around porcelain and other craft materials and processes as well as an active collaborative practice with, Amber Ginsburg, focusing on durational installation work around terra cotta histories.",Professor,0,21,1,Male,8,2 8 0 ,8 ,8 ,8 ,The best answer is 0. Professor.,2. Photographer  8. Painter  0. Professor,8. Painter,8. Painter,8. Painter,"Prior to coming to Manhattanville College, Joseph taught ceramics and sculpture at Kalamazoo College. Working primarily in ceramic sculpture, Joseph maintains both a private studio practice around porcelain and other craft materials and processes as well as an active collaborative practice with, Amber Ginsburg, focusing on durational installation work around terra cotta histories. His work has been featured nationally and internationally including Taiwan, Korea, Germany, and England. Joseph attained his B.F.A from Miami University of Ohio and his M.F.A from Illinois State University."
73,"Sharpless was one of four professors to win the 2009 Phillip and Ruth Hettleman Prize for Artistic and Scholarly Achievement by Young Faculty at Carolina. His research was funded by the National Institutes of Health, the Ellison Medical Foundation, and the Burroughs Wellcome Fund.",Professor,0,21,1,Male,0,4 5 0 ,0 ,0 ,5 0 ,The best answer is 0. Professor.,4. Psychologist  5. Teacher  0. Professor,0. Professor,0. Professor,5. Teacher  0. Professor,"Sharpless was one of four professors to win the 2009 Phillip and Ruth Hettleman Prize for Artistic and Scholarly Achievement by Young Faculty at Carolina. His research was funded by the National Institutes of Health, the Ellison Medical Foundation, and the Burroughs Wellcome Fund."
74,"He earned his degrees from St. Augustine's College(B.A.); University of North Carolina at Chapel Hill.(M.A.)and(Ph.D.); Universidad Autonoma del Estado de Morolos-Cuernavaca, Mexico(DLCE)Diploma de Lengua y Cultura Espanola.He has more than 20 years of foreign language teaching experience in colleges and universities abroad and in the United States.",Professor,0,21,1,Male,0,4 5 0 ,5 0 ,4 5 0 ,4 5 0 ,The best answer is 0. Professor.,4. Psychologist  5. Teacher  0. Professor,5. Teacher  0. Professor,4. Psychologist  5. Teacher  0. Professor,4. Psychologist  5. Teacher  0. Professor,"He earned his degrees from St. Augustine's College(B.A.); University of North Carolina at Chapel Hill.(M.A.) and(Ph.D.); Universidad Autonoma del Estado de Morolos-Cuernavaca, Mexico(DLCE)Diploma de Lengua y Cultura Espanola. He has more than 20 years of foreign language teaching experience in colleges and universities abroad and in the United States. When not at JCSU, he is involved with multicultural activities within the community. << Back to Staff Listing"
75,"He obtained his PhD entitled ""Enhancing Spatial Deformation for Virtual Sculpting ""in 2000 from the University of Cambridge.His research interests cover primarily geometric and procedural modelling.He has also worked in the application of high performance computing and visualization to computational chemistry, geomatics and radio astronomy.",Professor,0,21,1,Male,0,2 3 0 ,0 ,0 ,0 ,The best answer is 0. Professor.,2. Photographer  3. Journalist  0. Professor,0. Professor,0. Professor,0. Professor,"He obtained his PhD entitled ""Enhancing Spatial Deformation for Virtual Sculpting ""in 2000 from the University of Cambridge. His research interests cover primarily geometric and procedural modelling. He has also worked in the application of high performance computing and visualization to computational chemistry, geomatics and radio astronomy. James Gain has served two terms as President of Afrigraph, the African Computer Graphics Association. More details here."
76,She teaches Spanish language and Latin American Literature and Film.Her primary research areas range from cultural products on(il)legal immigration to the study of bandits in Latin American literature and film representations of said figures.,Professor,0,21,0,Female,0,3 4 0 ,0 ,0 ,0 ,The best answer is 0. Professor.,3. Journalist  4. Psychologist  0. Professor,0. Professor,0. Professor,0. Professor,"She teaches Spanish language and Latin American Literature and Film. Her primary research areas range from cultural products on(il)legal immigration to the study of bandits in Latin American literature and film representations of said figures. She recently published an article about the construction of identity through violence taking as a point of reference the famous Mexican corrido in honor of Joaquin Murrieta. She obtained her doctoral degree from the University of California, Berkeley, and she joined Seattle University in 2009. She was part of the organizing committee for the PAMLA 2012 conference held at her institution."
77,"She received her M.D.from UMDNJ-New Jersey Medical School and completed her general surgery training at Brown University.After her residency, she then finished a colorectal surgery fellowship at UMDNJ-Robert Wood Johnson Medical School, followed by additional oncology training at Memorial Sloan-Kettering Cancer Center.She is interested in developing a curriuclum to teach laparoscopic surgery.",Professor,0,21,0,Female,7,1 7 0 ,7 ,1 7 ,1 7 ,The best answer is 0. Professor.,1. Physician  7. Surgeon  0. Professor,7. Surgeon,1. Physician  7. Surgeon,1. Physician  7. Surgeon,"She received her M.D. from UMDNJ-New Jersey Medical School and completed her general surgery training at Brown University. After her residency, she then finished a colorectal surgery fellowship at UMDNJ-Robert Wood Johnson Medical School, followed by additional oncology training at Memorial Sloan-Kettering Cancer Center. She is interested in developing a curriuclum to teach laparoscopic surgery. She is also interested in assessment of technical skills in the operating room and transfer of skills from the lab to the operating room."
78,"She is the author of Woman the Hunter(Beacon Press, 1997) and co-author, with Carol K. Oyster, of Gun Women : Firearms and Feminism in Contemporary America(New York University Press, 2000).",Professor,0,21,0,Female,0,3 4 0 ,3 0 ,0 ,0 ,The best answer is 0. Professor.,3. Journalist  4. Psychologist  0. Professor,3. Journalist  0. Professor,0. Professor,0. Professor,"She is the author of Woman the Hunter(Beacon Press, 1997) and co-author, with Carol K. Oyster, of Gun Women : Firearms and Feminism in Contemporary America(New York University Press, 2000)."
79,"She is certified in both Family Medicine and Palliative Medicine specialties, and has roles in both departments at the Medical College of Wisconsin.She is the Associate Director of the Family Medicine student clerkship and is involved in teaching activities for medical students and residents.",Professor,0,21,0,Female,1,1 4 0 ,1 0 ,1 4 0 ,1 0 ,The best answer is 0. Professor.,1. Physician  4. Psychologist  0. Professor,1. Physician  0. Professor,1. Physician  4. Psychologist  0. Professor,1. Physician  0. Professor,"She is certified in both Family Medicine and Palliative Medicine specialties, and has roles in both departments at the Medical College of Wisconsin. She is the Associate Director of the Family Medicine student clerkship and is involved in teaching activities for medical students and residents. She is the Medical Director of Continuing Medical Education for the Department of Family Medicine and is grant funded for Geriatrics Education in primary care. She serves as a member of the Medical College of Wisconsin's Academic Standing Committee, and as a member of the Wisconsin Academy of Family Physicians Foundation. Her clinical focus is in Palliative Medicine, Geriatrics, and Primary care."
88,"Dr. Furuta's current areas of research include hypermedia systems and models, structured documents and electronic publishing, document structure recognition from bitmapped sources, management systems for three-dimensional-gesture-based user interfaces, and digital libraries.He also has studied applications in computer supported cooperative work, software engineering, and visual programming.",Professor,0,21,1,Male,0,4 5 0 ,0 ,0 ,4 0 ,The best answer is 0. Professor.,4. Psychologist  5. Teacher  0. Professor,0. Professor,0. Professor,4. Psychologist  0. Professor,"Dr. Furuta's current areas of research include hypermedia systems and models, structured documents and electronic publishing, document structure recognition from bitmapped sources, management systems for three-dimensional-gesture-based user interfaces, and digital libraries. He also has studied applications in computer supported cooperative work, software engineering, and visual programming. He is U.S. editor of the journal Electronic Publishing : Origination, Dissemination, and Design(EP-odd), published by John Wiley, and has just completed a term as chair of the ACM Spe-"
89,"Buehler Endowed Professorship at Utah State University.She earned her doctorate at the University of Missouri.She was principal investigator on the $ 3 million National Science Foundation ADVANCE grant at USU from 2003 to 2006.Dr. Callister teaches a variety of management courses, including International Management.",Professor,0,21,0,Female,0,4 5 0 ,0 ,0 ,0 ,The best answer is 0. Professor.,4. Psychologist  5. Teacher  0. Professor,0. Professor,0. Professor,0. Professor,"Buehler Endowed Professorship at Utah State University. She earned her doctorate at the University of Missouri. She was principal investigator on the $ 3 million National Science Foundation ADVANCE grant at USU from 2003 to 2006. Dr. Callister teaches a variety of management courses, including International Management. In 2001, she was selected as the Jon M. Huntsman School of Business Teacher of the Year at USU."
90,"She is committed to improving the education of medical students, residents and fellows in the basic science of rheumatic diseases, and in the development of skills that ensure thoughtful, compassionate patient care to persons of all races and socioeconomic standing.",Professor,0,21,0,Female,0,1 4 0 ,1 4 0 ,1 4 0 ,1 4 0 ,The best answer is 0. Professor.,1. Physician  4. Psychologist  0. Professor,1. Physician  4. Psychologist  0. Professor,1. Physician  4. Psychologist  0. Professor,1. Physician  4. Psychologist  0. Professor,"She is committed to improving the education of medical students, residents and fellows in the basic science of rheumatic diseases, and in the development of skills that ensure thoughtful, compassionate patient care to persons of all races and socioeconomic standing. Her publications to date focus on general rheumatology, in which she has co-authored texts with fellows, residents and faculty; on being a doctor; and on Paget  s disease of bone, which remains her specific area of expertise and research interest. DISCLOSURE : Reported no relevant financial relationships with commercial entities"
91,"She is also serving as a director of the Center for Human Computer Interaction. She has broad interests in information use behaviour, digital libraries, social computing, and human-computer interaction. She can be contacted atEmail",Professor,0,21,0,Female,0,4 5 0 ,4 0 ,0 ,0 ,The best answer is 0. Professor.,4. Psychologist  5. Teacher  0. Professor,4. Psychologist  0. Professor,0. Professor,0. Professor,"She is also serving as a director of the Center for Human Computer Interaction. She has broad interests in information use behaviour, digital libraries, social computing, and human-computer interaction. She can be contacted at[Email]"
92,"Although he is naturally a supporter of K-State Athletics, his son, Abrar, became more of a motivating factor to purchase season tickets for the 2014 campaign.",Professor,0,21,1,Male,3,3 5 9 ,3 5 9 ,3 5 6 9 ,3 5 6 9 ,The best answer is 0. Professor.,3. Journalist  5. Teacher  9. Model,3. Journalist  5. Teacher  9. Model,3. Journalist  5. Teacher  6. Dentist  9. Model,3. Journalist  5. Teacher  6. Dentist  9. Model,"Although he is naturally a supporter of K-State Athletics, his son, Abrar, became more of a motivating factor to purchase season tickets for the 2014 campaign."
93,"Her work explores how individuals and markets react to and interact with policy.She is broadly interested in contemporary urban issues related to housing, transportation, segregation, inequality, and the social impacts of technology.",Professor,0,21,0,Female,0,3 4 0 ,0 ,0 ,0 ,The best answer is 0. Professor.,3. Journalist  4. Psychologist  0. Professor,0. Professor,0. Professor,0. Professor,"Her work explores how individuals and markets react to and interact with policy. She is broadly interested in contemporary urban issues related to housing, transportation, segregation, inequality, and the social impacts of technology. Her current projects include 1) the effects of mandatory inclusionary housing, or affordable housing requirements for private housing developments, on housing production and income segregation; 2) the geography of parking and its implications on urban form and functions; 3) using large, innovative datasets to evaluate the effectiveness of traffic safety measures and the public health outcomes."
94,"Her focus is on teaching typography as a primary means of communication and creative expression.Annabelle is also a practicing designer specializing in editorial design and typography.Her client list includes Chronicle Books, the University of Washington, the Traver Gallery, University of Washington Press, Marquand Books, and ARCADE Magazine.",Professor,0,21,0,Female,0,2 5 0 ,2 5 0 ,2 5 0 ,5 0 ,The best answer is 0. Professor.,2. Photographer  5. Teacher  0. Professor,2. Photographer  5. Teacher  0. Professor,2. Photographer  5. Teacher  0. Professor,5. Teacher  0. Professor,"Her focus is on teaching typography as a primary means of communication and creative expression. Annabelle is also a practicing designer specializing in editorial design and typography. Her client list includes Chronicle Books, the University of Washington, the Traver Gallery, University of Washington Press, Marquand Books, and ARCADE Magazine. Annabelle received a BGD in Graphic Design from North Carolina State University and an MFA from Cranbrook Academy of Art. Her work has been recognized in the AIGA 50 Books/50 Covers show and by the Type Director's Club, the Society of Publication Designers, the University & College Designers Association and Print Magazine."
95,"Having earned Bachelor of Arts degrees in both English and Art History at the University of California at Davis, Werness-Rude(then Werness) completed her Master of Arts and Doctoral degrees at the University of Texas at Austin.Maline specializes in the study of Latin American art and architecture.",Professor,0,21,0,Female,0,5 8 0 ,0 ,0 ,0 ,The best answer is 0. Professor.,5. Teacher  8. Painter  0. Professor,0. Professor,0. Professor,0. Professor,"Having earned Bachelor of Arts degrees in both English and Art History at the University of California at Davis, Werness-Rude(then Werness) completed her Master of Arts and Doctoral degrees at the University of Texas at Austin. Maline specializes in the study of Latin American art and architecture. Within this broad field, she particularly focuses on Mesoamerica, the Maya, and ancient Maya ceramics. Secondary art historical areas of interest include the Nineteenth Century as well as crafting traditions and moments of cultural exchange."
96,He also manages the Integrated Asset Management project at the USC-Chevron Center of Excellence for Research and Academic Training on Interactive Smart Oilfield Technologies.Dr. Bakshi's PhD research was on programming models for networked sensor systems and led to the creation of the ATaG programming model and software synthesis toolkit.,Professor,0,21,1,Male,0,4 5 0 ,0 ,0 ,4 0 ,The best answer is 0. Professor.,4. Psychologist  5. Teacher  0. Professor,0. Professor,0. Professor,4. Psychologist  0. Professor,"He also manages the Integrated Asset Management project at the USC-Chevron Center of Excellence for Research and Academic Training on Interactive Smart Oilfield Technologies. Dr. Bakshi's PhD research was on programming models for networked sensor systems and led to the creation of the ATaG programming model and software synthesis toolkit. His current interests include semantic Web technologies for information integration, smart oilfield technologies, model integrated computing, and sensor networks."
97,"A former high school social studies teacher, she currently teaches courses on curriculum theory, social justice, and elementary social studies education.A graduate of the University of Wisconsin-Madison, her research interests include social justice education, social class and labor history in the social studies curriculum, teacher activism, and the impact of de-unionization on teachers.",Professor,0,21,0,Female,0,4 5 0 ,0 ,0 ,0 ,The best answer is 0. Professor.,4. Psychologist  5. Teacher  0. Professor,0. Professor,0. Professor,0. Professor,"A former high school social studies teacher, she currently teaches courses on curriculum theory, social justice, and elementary social studies education. A graduate of the University of Wisconsin-Madison, her research interests include social justice education, social class and labor history in the social studies curriculum, teacher activism, and the impact of de-unionization on teachers. She is the author of several articles and book chapters as well as Educating Activist Allies : Social Justice Pedagogy with the Suburban and Urban Elite(Routledge, 2013), which was one of CHOICE Magazine's ""Oustanding Academic Titles ""for 2013. Contact Dr. Swalwell at swalwell at iastate.edu."
98,"He has published over 120 articles in peer reviewed journals and is on the editorial board of several scientific journals, including being Editor in Chief of the journal Current Drug Safety.",Professor,0,21,1,Male,0,3 7 0 ,7 0 ,7 0 ,7 0 ,The best answer is 0. Professor.,3. Journalist  7. Surgeon  0. Professor,7. Surgeon  0. Professor,7. Surgeon  0. Professor,7. Surgeon  0. Professor,"He has published over 120 articles in peer reviewed journals and is on the editorial board of several scientific journals, including being Editor in Chief of the journal Current Drug Safety."
99,"Rockefeller Cancer Institute. After receiving her medical degree from UAMS, Dr. Devan continued at UAMS to practice her residency in Internal Medicine and fellowship training in Hospice and Palliative Medicine. She is a member of the UAMS Palliative Care Subcommittee, the American College of Physicians and the American Medical Association.",Professor,0,21,0,Female,1,1 7 0 ,1 7 ,1 7 ,1 ,The best answer is 0. Professor.,1. Physician  7. Surgeon  0. Professor,1. Physician  7. Surgeon,1. Physician  7. Surgeon,1. Physician,"Rockefeller Cancer Institute. After receiving her medical degree from UAMS, Dr. Devan continued at UAMS to practice her residency in Internal Medicine and fellowship training in Hospice and Palliative Medicine. She is a member of the UAMS Palliative Care Subcommittee, the American College of Physicians and the American Medical Association."
100,"He performed and devised with the Actors'Gang, the Factory Theater, and Irondale Ensemble Project, and covered New York and Los Angeles theatre as an editor for Back Stage and Back Stage West.",Professor,0,21,1,Male,0,3 5 0 ,2 3 5 0 ,2 3 4 5 0 ,2 3 5 0 ,The best answer is 0. Professor.,3. Journalist  5. Teacher  0. Professor,2. Photographer  3. Journalist  5. Teacher  0. Professor,2. Photographer  3. Journalist  4. Psychologist  5. Teacher  0. Professor,2. Photographer  3. Journalist  5. Teacher  0. Professor,"He performed and devised with the Actors'Gang, the Factory Theater, and Irondale Ensemble Project, and covered New York and Los Angeles theatre as an editor for Back Stage and Back Stage West."
101,"He holds a Doctorate in Philosophy in Community Health with a Specialization in Health Policy from the University of Illinois at Urbana-Champaign, where he also completed his undergraduate work, and he earned his Master of Science in Education Administration from Eastern Illinois University.",Professor,0,21,1,Male,0,1 4 0 ,0 ,0 ,1 0 ,The best answer is 0. Professor.,1. Physician  4. Psychologist  0. Professor,0. Professor,0. Professor,1. Physician  0. Professor,"He holds a Doctorate in Philosophy in Community Health with a Specialization in Health Policy from the University of Illinois at Urbana-Champaign, where he also completed his undergraduate work, and he earned his Master of Science in Education Administration from Eastern Illinois University. Besides Ashford, Dr. Trask has also taught various health care courses at Lincoln College in Normal, Illinois, as an adjunct professor."
102,"He is also an adjunct professor of law at the Washington College of Law of the American University.Professor Williamson is a principal in the Falls Church, Virginia accounting firm of LaMonaca & Williamson, CPAs which specialize in tax compliance and planning for small businesses and individuals.He is a frequent lecturer to professional groups and has published numerous articles.",Professor,0,21,1,Male,0,3 4 0 ,4 0 ,4 0 ,4 0 ,The best answer is 0. Professor.,3. Journalist  4. Psychologist  0. Professor,4. Psychologist  0. Professor,4. Psychologist  0. Professor,4. Psychologist  0. Professor,"He is also an adjunct professor of law at the Washington College of Law of the American University. Professor Williamson is a principal in the Falls Church, Virginia accounting firm of LaMonaca & Williamson, CPAs which specialize in tax compliance and planning for small businesses and individuals. He is a frequent lecturer to professional groups and has published numerous articles. Previously, Professor Williamson was senior manager for international taxation at the National Tax Practice Office of KPMG Peat Marwick in Washington, D.C. He is a frequent lecturer to professional groups and has published numerous articles."
103,"Dr. Rao received his degree in Biophysics and Cognitive Neuroscience from the University of Science and Technology of China.Dr. Rao was trained at Beijing Laboratory of Cognitive Science, Chinese Academy of Sciences, and has been worked as a lecturer in the Department of Psychology, Sun Yat-Sen University in China until 2004 before moving to the United States.",Professor,0,21,1,Male,0,1 4 0 ,0 ,0 ,4 0 ,The best answer is 0. Professor.,1. Physician  4. Psychologist  0. Professor,0. Professor,0. Professor,4. Psychologist  0. Professor,"Dr. Rao received his degree in Biophysics and Cognitive Neuroscience from the University of Science and Technology of China. Dr. Rao was trained at Beijing Laboratory of Cognitive Science, Chinese Academy of Sciences, and has been worked as a lecturer in the Department of Psychology, Sun Yat-Sen University in China until 2004 before moving to the United States. Dr. Rao was a postdoctoral research fellow in the Center for Functional Neuroimaging at University of Pennsylvania from 2004-2007."
104,"His research interests focuses on understanding the physiological function, regulation and clinical significance of ATP binding cassette(ABC) transporters, with a special emphasis on the role of mitochondrial transporters in mitochondrial physiology and disease pathology.",Professor,0,21,1,Male,0,1 4 0 ,0 ,0 ,0 ,The best answer is 0. Professor.,1. Physician  4. Psychologist  0. Professor,0. Professor,0. Professor,0. Professor,"His research interests focuses on understanding the physiological function, regulation and clinical significance of ATP binding cassette(ABC) transporters, with a special emphasis on the role of mitochondrial transporters in mitochondrial physiology and disease pathology."
105,"Prior to taking the university position in 1991, he served for seven years as editor of the Bulletin of the Atomic Scientists, which under his direction won the National Magazine Award in 1987. He was a Chicago Tribune reporter from 1978 to 1984 and a reporter at the Des Moines Register and other publications before that.",Professor,0,21,1,Male,3,3 5 0 ,3 ,3 ,3 ,The best answer is 0. Professor.,3. Journalist  5. Teacher  0. Professor,3. Journalist,3. Journalist,3. Journalist,"Prior to taking the university position in 1991, he served for seven years as editor of the Bulletin of the Atomic Scientists, which under his direction won the National Magazine Award in 1987. He was a Chicago Tribune reporter from 1978 to 1984 and a reporter at the Des Moines Register and other publications before that."
106,"He received his DBA and MBA in operations management from Indiana University and his BBA from Texas Christian University.Dr. Fliedner has published in numerous premier business journals and is a member of several professional societies.In 2010, he received the distinguished Fellows lifetime service award from the Midwest Decision Sciences Institute.",Professor,0,21,1,Male,0,4 5 0 ,0 ,0 ,0 ,The best answer is 0. Professor.,4. Psychologist  5. Teacher  0. Professor,0. Professor,0. Professor,0. Professor,"He received his DBA and MBA in operations management from Indiana University and his BBA from Texas Christian University. Dr. Fliedner has published in numerous premier business journals and is a member of several professional societies. In 2010, he received the distinguished Fellows lifetime service award from the Midwest Decision Sciences Institute. In 2011 and again in 2014, he received a three-year Research Fellowship from the Pawley Lean Institute at Oakland University. In 2011, in collaboration with Business Expert Press, he published his book titled Leading and Managing the Lean Management Process which received the prestigious Shingo Research and Professional Publication Award."
107,"This semester she is again teaching in the Honors Program as well as a new cross-college course, Tolerance in America, with Criminal Justice Professor, David Schroeder.",Professor,0,21,0,Female,5,3 4 5 ,3 5 ,3 5 ,3 5 ,The best answer is 0. Professor.,3. Journalist  4. Psychologist  5. Teacher,3. Journalist  5. Teacher,3. Journalist  5. Teacher,3. Journalist  5. Teacher,"This semester she is again teaching in the Honors Program as well as a new cross-college course, Tolerance in America, with Criminal Justice Professor, David Schroeder."
108,"Her current research includes American literature and Women's Studies. Her most recent project includes examining how the feminine is represented in literature and folklore. Most recently, her ""Phillis Wheatley's Dido ""appeared in New Essays on Phillis Wheatley(Univ. Tenn Press, 2012).",Professor,0,21,0,Female,0,3 5 0 ,3 0 ,3 0 ,0 ,The best answer is 0. Professor.,3. Journalist  5. Teacher  0. Professor,3. Journalist  0. Professor,3. Journalist  0. Professor,0. Professor,"Her current research includes American literature and Women's Studies. Her most recent project includes examining how the feminine is represented in literature and folklore. Most recently, her ""Phillis Wheatley's Dido ""appeared in New Essays on Phillis Wheatley(Univ. Tenn Press, 2012)."
109,"He has been the Assistant Director of the Academic Department for Old Age Psychiatry at Prince of Wales and Prince Henry Hospitals, Sydney since 1992. He is a member of the core management group of the Australian Government's Primary Dementia CRC based at UNSW.",Professor,0,21,1,Male,4,1 4 7 ,4 7 ,4 7 ,1 4 7 ,The best answer is 0. Professor.,1. Physician  4. Psychologist  7. Surgeon,4. Psychologist  7. Surgeon,4. Psychologist  7. Surgeon,1. Physician  4. Psychologist  7. Surgeon,"He has been the Assistant Director of the Academic Department for Old Age Psychiatry at Prince of Wales and Prince Henry Hospitals, Sydney since 1992. He is a member of the core management group of the Australian Government's Primary Dementia CRC based at UNSW."
110,"Her clinical expertise includes general pediatric gastroenterology and hepatology with focus in liver diseases in particular cholestasis and acute liver failure.Dr. Rojas received her medical degree at Universidad del Rosario in Bogota, Colombia.",Professor,0,21,0,Female,1,1 7 0 ,1 0 ,1 ,1 0 ,The best answer is 0. Professor.,1. Physician  7. Surgeon  0. Professor,1. Physician  0. Professor,1. Physician,1. Physician  0. Professor,"Her clinical expertise includes general pediatric gastroenterology and hepatology with focus in liver diseases in particular cholestasis and acute liver failure. Dr. Rojas received her medical degree at Universidad del Rosario in Bogota, Colombia. She attended the residency program in Pediatrics at University of Oklahoma in Tulsa and finished her fellowship in Pediatric Gastroenterology, Hepatology and Nutrition here at UT Southwestern. She is board certified in Pediatrics and Pediatric Gastroenterology. Education"
111,"His book project, tentatively titled The Matter of Cuisine : Food-ways and Medieval Romance, is a work of literary anthropology tracking the intersection of food practice, political theory, and the romance literature of medieval England, from its earliest iterations in tenth-century hagiographic narratives to their descendants of the fifteenth century, across four centuries of viands and verse, fr...",Professor,0,21,1,Male,0,3 5 0 ,3 0 ,3 0 ,0 ,The best answer is 0. Professor.,3. Journalist  5. Teacher  0. Professor,3. Journalist  0. Professor,3. Journalist  0. Professor,0. Professor,"His book project, tentatively titled The Matter of Cuisine : Food-ways and Medieval Romance, is a work of literary anthropology tracking the intersection of food practice, political theory, and the romance literature of medieval England, from its earliest iterations in tenth-century hagiographic narratives to their descendants of the fifteenth century, across four centuries of viands and verse, from romances in Anglo-Saxon, to Old French, and then to Middle English."
112,"She has published five poetry books, a long list of individual poems, fictional writing, and essays in various periodicals.She was one of five U.S. writers sponsored by the U.S. Embassy to attend the First World Congress of Indigenous Literatures of the Americas in Guatemala City.",Professor,0,21,0,Female,8,5 8 0 ,5 8 ,5 8 0 ,5 8 0 ,The best answer is 0. Professor.,5. Teacher  8. Painter  0. Professor,5. Teacher  8. Painter,5. Teacher  8. Painter  0. Professor,5. Teacher  8. Painter  0. Professor,"She has published five poetry books, a long list of individual poems, fictional writing, and essays in various periodicals. She was one of five U.S. writers sponsored by the U.S. Embassy to attend the First World Congress of Indigenous Literatures of the Americas in Guatemala City. Sweet's poem ""Constellations ""is part of a permanent installation(etched in granite corridor walls) at the Midwest Express Center in Milwaukee."
113,"She is author of Gender and the Garden in Early Modern Literature and the editor of Making Gardens of Their Own : Gardening Manuals for Women, 1500-1750.Rebecca Laroche is a professor of Englishat theUniversity of Colorado at Colorado... other books by Jennifer MunroeShakespeare and Ecofeminist TheoryKobo ebook|Feb 23 2017$32.80Ecological Approaches to Early Modern English Texts : A... Kobo ebook|...",Professor,0,21,0,Female,5,4 5 0 ,5 0 ,4 5 0 ,4 5 0 ,The best answer is 0. Professor.,4. Psychologist  5. Teacher  0. Professor,5. Teacher  0. Professor,4. Psychologist  5. Teacher  0. Professor,4. Psychologist  5. Teacher  0. Professor,"She is author of Gender and the Garden in Early Modern Literature and the editor of Making Gardens of Their Own : Gardening Manuals for Women, 1500-1750.Rebecca Laroche is a professor of Englishat theUniversity of Colorado at Colorado... other books by Jennifer MunroeShakespeare and Ecofeminist TheoryKobo ebook|Feb 23 2017$32.80Ecological Approaches to Early Modern English Texts : A... Kobo ebook|Mar 9 2016$53.74Gender and the Garden in Early Modern English Literatur... Kobo ebook|Mar 2 2017$72.11see all books by Jennifer MunroeFormat : HardcoverDimensions:260 pages, 8.96 x 5.63 x 0.8 inPublished : November 15, 2011Publisher : Palgrave MacmillanLanguage : EnglishThe following ISBNs are associated with this title : ISBN-10:0230115128ISBN-13:9780230115125Look for similar items by category : BooksFiction and Literature"
